source_pack,source_archive,mesh_name,mesh_hash,mesh_material_field_offset,serialized_material_pointer,mat_name,mat_hash,material_texture_field_offset,serialized_texture_pointer,tex_name,tex_hash,join_scope
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman000,0XAC92103D,0x00000970,0x000000A0,ch_spidermanwhite,0X1E7B964E,0x00000084,0x000007EB,ch_spiderman_env,0X3EEEC795,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman001,0XAC92103E,0x000000A0,0x000003CC,ch_spidermanwhite_ps3,0X841010C3,0x00000034,0x00000B81,ch_spideyps3_tex3_ao,0XE63D4BA0,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman001,0XAC92103E,0x000000A0,0x000004F8,ch_spidermanwhite_ps3,0X841010C3,0x00000034,0x00001236,ch_spideyps3_tex3_ao,0XE63D4BA0,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman001,0XAC92103E,0x000000A0,0x000003CC,ch_spidermanwhite_ps3,0X841010C3,0x00000038,0x00000AB5,ch_spideyps3_tex3_nor,0XADE6F75F,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman001,0XAC92103E,0x000000A0,0x000004F8,ch_spidermanwhite_ps3,0X841010C3,0x00000038,0x00001126,ch_spideyps3_tex3_nor,0XADE6F75F,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman001,0XAC92103E,0x00000150,0x000000CC,ch_spidermanred_ps3,0X2371F77D,0x0000001C,0x00000A82,ch_spideyps3_webbingredalpha_dif,0XAABCF85E,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman001,0XAC92103E,0x00000150,0x000000F8,ch_spidermanred_ps3,0X2371F77D,0x0000001C,0x000010F3,ch_spideyps3_webbingredalpha_dif,0XAABCF85E,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman001,0XAC92103E,0x00000150,0x000000CC,ch_spidermanred_ps3,0X2371F77D,0x00000020,0x00000A60,ch_normal,0XA06B2F53,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman001,0XAC92103E,0x00000150,0x000000F8,ch_spidermanred_ps3,0X2371F77D,0x00000020,0x0000109E,ch_normal,0XA06B2F53,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman001,0XAC92103E,0x00000150,0x000000CC,ch_spidermanred_ps3,0X2371F77D,0x00000024,0x00000895,ch_spideyps3_webbingalpha,0X70FE7BB1,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman001,0XAC92103E,0x00000150,0x000000F8,ch_spidermanred_ps3,0X2371F77D,0x00000024,0x00000E8F,ch_spideyps3_webbingalpha,0X70FE7BB1,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman001,0XAC92103E,0x00000150,0x000000CC,ch_spidermanred_ps3,0X2371F77D,0x00000028,0x00000AA4,ch_spideyps3_tex2_nor,0XADD4DEDE,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman001,0XAC92103E,0x00000150,0x000000F8,ch_spidermanred_ps3,0X2371F77D,0x00000028,0x00001115,ch_spideyps3_tex2_nor,0XADD4DEDE,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman001,0XAC92103E,0x00000270,0x000000CC,ch_spidermanred_ps3,0X2371F77D,0x0000001C,0x00000A82,ch_spideyps3_webbingredalpha_dif,0XAABCF85E,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman001,0XAC92103E,0x00000270,0x000000F8,ch_spidermanred_ps3,0X2371F77D,0x0000001C,0x000010F3,ch_spideyps3_webbingredalpha_dif,0XAABCF85E,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman001,0XAC92103E,0x00000270,0x000000CC,ch_spidermanred_ps3,0X2371F77D,0x00000020,0x00000A60,ch_normal,0XA06B2F53,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman001,0XAC92103E,0x00000270,0x000000F8,ch_spidermanred_ps3,0X2371F77D,0x00000020,0x0000109E,ch_normal,0XA06B2F53,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman001,0XAC92103E,0x00000270,0x000000CC,ch_spidermanred_ps3,0X2371F77D,0x00000024,0x00000895,ch_spideyps3_webbingalpha,0X70FE7BB1,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman001,0XAC92103E,0x00000270,0x000000F8,ch_spidermanred_ps3,0X2371F77D,0x00000024,0x00000E8F,ch_spideyps3_webbingalpha,0X70FE7BB1,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman001,0XAC92103E,0x00000270,0x000000CC,ch_spidermanred_ps3,0X2371F77D,0x00000028,0x00000AA4,ch_spideyps3_tex2_nor,0XADD4DEDE,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman001,0XAC92103E,0x00000270,0x000000F8,ch_spidermanred_ps3,0X2371F77D,0x00000028,0x00001115,ch_spideyps3_tex2_nor,0XADD4DEDE,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman001,0XAC92103E,0x00000380,0x00000560,ch_spidermanspider_ps3,0XCB761B69,0x00000024,0x000009C7,ch_spiderman_spider,0X8E661B33,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman001,0XAC92103E,0x00000380,0x00000A00,ch_spidermanspider_ps3,0XCB761B69,0x00000024,0x00001005,ch_spiderman_spider,0X8E661B33,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman001,0XAC92103E,0x00000380,0x00000560,ch_spidermanspider_ps3,0XCB761B69,0x00000080,0x00000873,_normswizzle,0X61DCA273,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman001,0XAC92103E,0x00000380,0x00000A00,ch_spidermanspider_ps3,0XCB761B69,0x00000080,0x00000E07,_normswizzle,0X61DCA273,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman001,0XAC92103E,0x00000380,0x00000560,ch_spidermanspider_ps3,0XCB761B69,0x00000084,0x000007EB,ch_spiderman_env,0X3EEEC795,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman001,0XAC92103E,0x00000440,0x00000028,ch_spidermanblue_ps3,0X1076314A,0x00000024,0x00000884,ch_spiderman_webbingblue_dif,0X66CED7A4,SAME_ARCHIVE
